Date,Open,High,Low,Close,Adj Close,Volume
2010-10-21,11105.240234,11249.570313,11038.790039,11146.570313,11146.570313,4625470000
2010-10-22,11146.410156,11192.089844,11071.219727,11132.559570,11132.559570,3177890000
2010-10-25,11133.400391,11266.299805,11127.269531,11164.049805,11164.049805,4221380000
2010-10-26,11163.059570,11221.040039,11055.480469,11169.459961,11169.459961,4203680000
2010-10-27,11168.400391,11172.830078,10986.679688,11126.280273,11126.280273,4335670000
2010-10-28,11127.339844,11217.330078,11033.870117,11113.950195,11113.950195,4283460000
2010-10-29,11120.450195,11178.429688,11028.080078,11118.400391,11118.400391,3537880000
2010-11-01,11120.299805,11257.589844,11053.290039,11124.620117,11124.620117,4129180000
2010-11-02,11125.299805,11266.259766,11125.299805,11188.719727,11188.719727,3866200000
2010-11-03,11184.799805,11261.230469,11088.740234,11215.129883,11215.129883,4665480000
2010-11-04,11216.650391,11481.009766,11216.650391,11434.839844,11434.839844,5695470000
2010-11-05,11435.299805,11505.830078,11336.150391,11444.080078,11444.080078,5637460000
2010-11-08,11439.610352,11454.440430,11324.269531,11406.839844,11406.839844,3937230000
2010-11-09,11403.509766,11453.009766,11293.349609,11346.750000,11346.750000,4848040000
2010-11-10,11342.809570,11395.370117,11239.690430,11357.040039,11357.040039,4561300000
2010-11-11,11326.690430,11350.299805,11175.169922,11283.099609,11283.099609,3931120000
2010-11-12,11281.280273,11307.690430,11114.099609,11192.580078,11192.580078,4213620000
2010-11-15,11194.019531,11314.360352,11149.969727,11201.969727,11201.969727,3503370000
2010-11-16,11194.700195,11194.700195,10949.860352,11023.500000,11023.500000,5116380000
2010-11-17,11017.830078,11091.690430,10947.519531,11007.879883,11007.879883,3904780000
2010-11-18,11010.490234,11234.740234,11010.490234,11181.230469,11181.230469,4687260000
2010-11-19,11180.769531,11238.519531,11096.919922,11203.549805,11203.549805,3675390000
2010-11-22,11201.589844,11213.919922,11044.389648,11178.580078,11178.580078,3689500000
2010-11-23,11177.599609,11177.599609,10968.780273,11036.370117,11036.370117,4133070000
2010-11-24,11037.429688,11221.110352,11037.429688,11187.280273,11187.280273,3384250000
2010-11-26,11183.500000,11183.500000,11046.740234,11092.000000,11092.000000,1613820000
2010-11-29,11083.750000,11092.490234,10906.459961,11052.490234,11052.490234,3673450000
2010-11-30,11049.719727,11083.179688,10916.259766,11006.019531,11006.019531,4284700000
2010-12-01,11007.309570,11297.519531,11007.309570,11255.780273,11255.780273,4548110000
2010-12-02,11255.929688,11404.419922,11237.200195,11362.410156,11362.410156,4970800000
2010-12-03,11361.809570,11408.580078,11280.599609,11382.089844,11382.089844,3735780000
2010-12-06,11381.330078,11422.660156,11313.599609,11362.190430,11362.190430,3527370000
2010-12-07,11363.849609,11507.269531,11327.679688,11359.160156,11359.160156,6970630000
2010-12-08,11354.450195,11441.620117,11281.429688,11372.480469,11372.480469,4607590000
2010-12-09,11370.440430,11449.370117,11293.769531,11370.059570,11370.059570,4522510000
2010-12-10,11370.440430,11446.650391,11326.009766,11410.320313,11410.320313,4547310000
2010-12-13,11406.160156,11513.700195,11369.000000,11428.559570,11428.559570,4361240000
2010-12-14,11429.089844,11543.900391,11389.320313,11476.540039,11476.540039,4132350000
2010-12-15,11475.639648,11552.450195,11416.599609,11457.469727,11457.469727,4407340000
2010-12-16,11457.929688,11553.509766,11394.879883,11499.250000,11499.250000,4736820000
2010-12-17,11499.019531,11542.580078,11421.450195,11491.910156,11491.910156,4632470000
2010-12-20,11491.299805,11561.610352,11417.320313,11478.129883,11478.129883,3548140000
2010-12-21,11478.360352,11585.830078,11454.969727,11533.160156,11533.160156,3479670000
2010-12-22,11532.169922,11600.969727,11486.230469,11559.490234,11559.490234,1285590000
2010-12-23,11559.110352,11615.570313,11514.540039,11573.490234,11573.490234,2515020000
2010-12-27,11572.809570,11597.410156,11480.519531,11555.030273,11555.030273,1992470000
2010-12-28,11554.799805,11624.320313,11514.879883,11575.540039,11575.540039,2478450000
2010-12-29,11572.740234,11655.040039,11557.530273,11585.379883,11585.379883,2214380000
2010-12-30,11585.830078,11614.440430,11535.500000,11569.709961,11569.709961,1970720000
2010-12-31,11569.330078,11612.769531,11515.790039,11577.509766,11577.509766,1799770000
2011-01-03,11577.429688,11750.900391,11577.429688,11670.750000,11670.750000,4286670000
2011-01-04,11670.900391,11766.940430,11582.990234,11691.179688,11691.179688,4796420000
2011-01-05,11688.759766,11775.719727,11610.290039,11722.889648,11722.889648,4764920000
2011-01-06,11716.929688,11795.780273,11615.309570,11697.309570,11697.309570,4844100000
2011-01-07,11696.860352,11761.490234,11578.639648,11674.759766,11674.759766,4963110000
2011-01-10,11672.339844,11698.330078,11545.870117,11637.450195,11637.450195,4036450000
2011-01-11,11638.509766,11756.570313,11601.570313,11671.879883,11671.879883,4050750000
2011-01-12,11673.620117,11814.549805,11673.620117,11755.440430,11755.440430,4226940000
2011-01-13,11753.700195,11803.190430,11666.320313,11731.900391,11731.900391,4310840000
2011-01-14,11732.200195,11827.110352,11658.410156,11787.379883,11787.379883,4661590000
2011-01-18,11783.820313,11909.230469,11740.830078,11837.929688,11837.929688,5284990000
2011-01-19,11834.209961,11922.919922,11746.360352,11825.290039,11825.290039,4743710000
2011-01-20,11823.700195,11890.150391,11700.679688,11822.799805,11822.799805,4935320000
2011-01-21,11824.759766,11960.309570,11802.969727,11871.839844,11871.839844,4935320000
2011-01-24,11873.500000,12021.240234,11826.580078,11980.519531,11980.519531,3902470000
2011-01-25,11979.080078,12072.169922,11840.049805,11977.190430,11977.190430,4595380000
2011-01-26,11978.849609,12069.830078,11903.280273,11985.440430,11985.440430,4730980000
2011-01-27,11985.360352,12066.719727,11907.709961,11989.830078,11989.830078,4309190000
2011-01-28,11990.360352,12047.650391,11775.639648,11823.700195,11823.700195,5618630000
2011-01-31,11824.459961,11951.080078,11738.299805,11891.929688,11891.929688,4167160000
2011-02-01,11892.500000,12082.240234,11892.500000,12040.160156,12040.160156,5164500000
2011-02-02,12038.269531,12104.110352,11962.730469,12041.969727,12041.969727,4098260000
2011-02-03,12040.679688,12105.169922,11957.969727,12062.259766,12062.259766,4370990000
2011-02-04,12061.650391,12125.379883,12003.339844,12092.150391,12092.150391,3925950000
2011-02-07,12092.379883,12219.450195,12003.339844,12161.629883,12161.629883,3902270000
2011-02-08,12152.700195,12258.919922,12114.780273,12233.150391,12233.150391,3881530000
2011-02-09,12229.589844,12304.290039,12135.860352,12239.889648,12239.889648,3922240000
2011-02-10,12239.660156,12291.349609,12107.400391,12229.290039,12229.290039,4184610000
2011-02-11,12227.780273,12326.849609,12138.400391,12273.259766,12273.259766,4219300000
2011-02-14,12266.830078,12327.000000,12185.209961,12268.190430,12268.190430,3567040000
2011-02-15,12266.750000,12293.469727,12146.269531,12226.639648,12226.639648,3926860000
2011-02-16,12219.790039,12338.429688,12195.540039,12288.169922,12288.169922,1966450000
2011-02-17,12287.790039,12357.500000,12216.799805,12318.139648,12318.139648,1966450000
2011-02-18,12318.599609,12417.969727,12265.160156,12391.250000,12391.250000,1162310000
2011-02-22,12389.740234,12394.700195,12142.969727,12212.790039,12212.790039,1322780000
2011-02-23,12211.809570,12289.839844,12007.389648,12105.780273,12105.780273,1330340000
2011-02-24,12104.639648,12202.690430,11960.620117,12068.500000,12068.500000,1222900000
2011-02-25,12060.929688,12202.200195,12043.830078,12130.450195,12130.450195,3836030000
2011-02-28,12130.219727,12293.469727,12112.280273,12226.339844,12226.339844,1252850000
2011-03-01,12226.570313,12304.030273,12036.000000,12058.019531,12058.019531,1180420000
2011-03-02,12057.339844,12154.969727,11970.080078,12066.799805,12066.799805,1025000000
2011-03-03,12068.009766,12317.839844,12068.009766,12258.200195,12258.200195,4340470000
2011-03-04,12258.879883,12306.259766,12056.809570,12169.879883,12169.879883,4223740000
2011-03-07,12171.089844,12268.870117,12025.509766,12090.030273,12090.030273,3964730000
2011-03-08,12085.799805,12276.370117,12039.019531,12214.379883,12214.379883,4531420000
2011-03-09,12211.160156,12293.740234,12106.679688,12213.089844,12213.089844,3709520000
2011-03-10,12211.429688,12211.429688,11924.480469,11984.610352,11984.610352,4723020000
2011-03-11,11976.959961,12087.009766,11936.320313,12044.400391,12044.400391,3740400000
2011-03-14,12042.129883,12058.440430,11873.429688,11993.160156,11993.160156,4050370000
